case_id,completed_at,signal,n_targets,blind_verdict,assisted_verdict,verdicts_match,blind_uncached_in,assisted_uncached_in,blind_output,assisted_output,blind_reasoning,assisted_reasoning,blind_ms,assisted_ms,target_class_agree,targets_assessed,action_agree,coverage_blind,coverage_assisted,adjudicated_targets,blind_correct,assisted_correct,scoring_status
005b940a,2026-08-13T23:47,signal_A,3,TRUE,TRUE,True,25557,19928,1714,1031,198,72,44287,29786,3,3,3,True,True,3,3,3,SCORED
0fcf1b44,2026-08-14T02:15,signal_A,5,TRUE,TRUE,True,24834,32269,1874,1704,303,156,60388,42381,5,5,2,True,True,5,5,5,SCORED
17a88931,2026-08-16T11:36,signal_B,2,TRUE,TRUE,True,15763,15921,747,702,69,50,20841,19546,2,2,2,True,True,2,2,2,SCORED
605e504c,2026-08-13T21:42,signal_A,4,MIXED,MIXED,True,25526,21384,1583,1246,308,145,40822,32374,4,4,2,True,True,4,4,4,SCORED
6f8b45cc,2026-08-14T17:04,signal_A,3,MIXED,MIXED,True,30772,20335,1386,1141,176,115,48439,31060,3,3,3,True,True,2,2,2,SCORED
8ecffa64,2026-08-14T01:44,signal_A,4,TRUE,TRUE,True,28636,21637,2063,1347,368,265,56821,35322,0,4,1,True,True,4,0,4,SCORED
951971be,2026-08-16T13:07,signal_B,2,TRUE,TRUE,True,15734,15920,655,692,59,53,17974,17534,2,2,2,True,True,2,2,2,SCORED
961db7a5,2026-08-13T20:39,signal_A,3,,,,52314,31119,1577,1560,195,247,47349,42576,0,0,0,,,,,,NOT_SCORED_NO_ANALYST_1_RUN
d6230177,2026-08-17T02:39,signal_B,2,TRUE,TRUE,True,15757,15973,685,809,53,92,19570,20324,2,2,2,True,True,2,2,2,SCORED
d8b0f1da,2026-08-16T12:37,signal_B,4,TRUE,TRUE,True,16148,16376,1127,1115,125,80,26386,25028,4,4,4,True,True,4,4,4,SCORED
ee206895,2026-08-14T00:17,signal_A,3,TRUE,TRUE,True,35599,21600,1868,1000,386,166,49365,26186,3,3,0,True,True,3,3,3,SCORED
